,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
201,Norfolk International Airport,Norfolk,United States,ORF,KORF,36.89,-76.2,26.0,America/New_York
202,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203.0,America/New_York
203,Trondheim Airport Værnes,Trondheim,Norway,TRD,ENVA,63.46,10.92,56.0,Europe/Oslo
204,Jacksonville International Airport,Jacksonville,United States,JAX,KJAX,30.49,-81.69,30.0,America/New_York
205,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,VAAH,23.08,72.63,189.0,Asia/Calcutta
206,Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,Peru,TRU,SPRU,-8.08,-79.11,106.0,America/Lima
207,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.45,-122.31,433.0,America/Los_Angeles
208,Southwest Florida International Airport,Fort Myers,United States,RSW,KRSW,26.54,-81.76,30.0,America/New_York
209,General Mitchell International Airport,Milwaukee,United States,MKE,KMKE,42.95,-87.9,723.0,America/Chicago
210,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,EKCH,55.62,12.66,17.0,Europe/Copenhagen
211,Longjia Airport,Changchun,China,CGQ,ZYCC,44.0,125.68,706.0,Asia/Shanghai
212,Guilin Liangjiang International Airport,Guilin,China,KWL,ZGKL,25.22,110.04,570.0,Asia/Shanghai
213,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9,-60.78,85.0,America/Cordoba
214,Sochi International Airport,Sochi,Russia,AER,URSS,43.45,39.96,89.0,Europe/Moscow
215,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.31,113.92,28.0,Asia/Hong_Kong
216,,,,,,,,,
217,Liuting Airport,Qingdao,China,TAO,ZSQD,36.27,120.37,33.0,Asia/Shanghai
218,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.12,11.05,681.0,Europe/Oslo
219,Pulkovo Airport,St. Petersburg,Russia,LED,ULLI,59.8,30.26,78.0,Europe/Moscow
220,Nantes Atlantique Airport,Nantes,France,NTE,LFRS,47.15,-1.6099999999999999,90.0,Europe/Paris
221,Riga International Airport,Riga,Latvia,RIX,EVRA,56.92,23.97,36.0,Europe/Riga
222,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.18,-76.67,146.0,America/New_York
223,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,TIST,18.34,-64.97,23.0,America/St_Thomas
224,Taiyuan Wusu Airport,Taiyuan,China,TYN,ZBYN,37.75,112.63,2575.0,Asia/Shanghai
225,Lanzhou Zhongchuan Airport,Lanzhou,China,LHW,ZLLL,36.52,103.62,6388.0,Asia/Shanghai
226,Boise Air Terminal/Gowen Field,Boise,United States,BOI,KBOI,43.56,-116.22,2871.0,America/Denver
227,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,LYBE,44.82,20.31,335.0,Europe/Belgrade
228,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.21,-80.94,748.0,America/New_York
229,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.18,-76.67,146.0,America/New_York
230,Eduardo Gomes International Airport,Manaus,Brazil,MAO,SBEG,-3.04,-60.05,264.0,America/Boa_Vista
231,Austin Bergstrom International Airport,Austin,United States,AUS,KAUS,30.19,-97.67,542.0,America/Chicago
232,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.79,-67.47,189.0,America/Catamarca
233,Tenerife Norte Airport,Tenerife,Spain,TFN,GCXO,28.48,-16.34,2076.0,Atlantic/Canary
234,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.94,23.94,308.0,Europe/Athens
235,Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,SZB,WMSA,3.13,101.55,90.0,Asia/Kuala_Lumpur
